Image	Direction	Expression
isekai_kaeri/Screenshot 2024-11-17 080430.png	lu	negative
isekai_kaeri/Screenshot 2024-11-17 080436.png	ld	negative
isekai_kaeri/Screenshot 2024-11-17 080447.png	rd	negative
isekai_kaeri/Screenshot 2024-11-17 080452.png	rd	negative
isekai_kaeri/Screenshot 2024-11-17 080459.png	rd	agitated
isekai_kaeri/Screenshot 2024-11-17 080504.png	ru	negative
isekai_kaeri/Screenshot 2024-11-17 080513.png	rd	negative
isekai_kaeri/Screenshot 2024-11-17 080519.png	rrd	negative
isekai_kaeri/Screenshot 2024-11-17 080528.png	lu	neutral
isekai_kaeri/Screenshot 2024-11-17 080540.png	lu	negative
isekai_kaeri/Screenshot 2024-11-19 012633.png	ru	neutral
isekai_kaeri/Screenshot 2024-11-19 012708.png	ru	agitated
isekai_kaeri/Screenshot 2024-11-19 012722.png	ld	negative
isekai_kaeri/Screenshot 2024-11-19 012738.png	lu	negative
isekai_kaeri/Screenshot 2024-11-19 012752.png	rd	agitated
isekai_kaeri/Screenshot 2024-11-19 012806.png	ld	agitated
isekai_kaeri/Screenshot 2024-11-19 012819.png	rr	agitated
isekai_kaeri/Screenshot 2024-11-19 012833.png	ru	agitated
isekai_kaeri/Screenshot 2024-11-19 012850.png	ld	agitated
isekai_kaeri/Screenshot 2024-11-19 012909.png	ll	agitated
isekai_kaeri/Screenshot 2024-11-19 012930.png	ll	neutral
isekai_kaeri/Screenshot 2024-11-19 012950.png	ld	agitated
isekai_kaeri/Screenshot 2024-11-19 013006.png	ld	agitated
isekai_kaeri/Screenshot 2024-11-19 013022.png	ll	neutral
isekai_kaeri/Screenshot 2024-11-19 013052.png	m	neutral
isekai_kaeri/Screenshot 2024-11-19 013108.png	rd	positive
isekai_kaeri/Screenshot 2024-11-19 013127.png	ld	neutral
isekai_kaeri/Screenshot 2024-11-19 013146.png	r	agitated
isekai_kaeri/Screenshot 2024-11-19 013157.png	ru	agitated
isekai_kaeri/Screenshot 2024-11-19 013211.png	ll	agitated
isekai_kaeri/Screenshot 2024-11-19 013228.png	ld	agitated
isekai_kaeri/Screenshot 2024-11-19 013245.png	rd	neutral
isekai_kaeri/Screenshot 2024-11-19 013305.png	rd	agitated
isekai_kaeri/Screenshot 2024-11-19 013318.png	lu	agitated
isekai_kaeri/Screenshot 2024-11-19 013329.png	ru	neutral
isekai_kaeri/Screenshot 2024-11-19 013342.png	rd	neutral
isekai_kaeri/Screenshot 2024-11-19 013352.png	rd	agitated
isekai_kaeri/Screenshot 2024-11-19 013406.png	ll	neutral
isekai_kaeri/Screenshot 2024-11-19 013423.png	ru	neutral
isekai_kaeri/Screenshot 2024-11-19 013435.png	ld	neutral
isekai_kaeri/Screenshot 2024-11-19 013449.png	ru	agitated
isekai_kaeri/Screenshot 2024-11-19 013501.png	rd	agitated
isekai_kaeri/Screenshot 2024-11-19 013514.png	rd	agitated
isekai_kaeri/Screenshot 2024-11-19 013531.png	lu	neutral
isekai_kaeri/Screenshot 2024-11-19 013543.png	rd	neutral
isekai_kaeri/Screenshot 2024-11-19 013557.png	rd	neutral
isekai_kaeri/Screenshot 2024-11-19 013609.png	l	positive
isekai_kaeri/Screenshot 2024-11-19 013621.png	rd	positive
isekai_kaeri/Screenshot 2024-11-19 013644.png	lu	agitated
isekai_kaeri/Screenshot 2024-11-19 013702.png	ru	erotic
isekai_kaeri/Screenshot 2024-11-19 013713.png	rr	positive
isekai_kaeri/Screenshot 2024-11-19 013734.png	llu	positive
isekai_kaeri/Screenshot 2024-11-19 013757.png	ld	positive
isekai_kaeri/Screenshot 2024-11-19 013815.png	rd	positive
isekai_kaeri/Screenshot 2024-11-19 013832.png	lu	erotic
isekai_kaeri/Screenshot 2024-11-19 013846.png	lld	neutral
isekai_kaeri/Screenshot 2024-11-19 013859.png	rd	neutral
isekai_kaeri/Screenshot 2024-11-19 013917.png	rd	positive
isekai_kaeri/Screenshot 2024-11-19 014048.png	ru	positive
isekai_kaeri/Screenshot 2024-11-19 014108.png	rd	negative
isekai_kaeri/Screenshot 2024-11-19 014123.png	ld	neutral
isekai_kaeri/Screenshot 2024-11-19 014138.png	ll	neutral
isekai_kaeri/Screenshot 2024-11-19 014149.png	ld	neutral
isekai_kaeri/Screenshot 2024-11-19 014159.png	ld	neutral
isekai_kaeri/Screenshot 2024-11-19 014335.png	u	neutral
isekai_kaeri/Screenshot 2024-11-19 014357.png	rd	neutral
isekai_kaeri/Screenshot 2024-11-19 014412.png	lu	neutral
isekai_kaeri/Screenshot 2024-11-19 014431.png	r	agitated
isekai_kaeri/Screenshot 2024-11-19 014451.png	ld	positive
isekai_kaeri/Screenshot 2024-11-19 014503.png	rd	neutral
isekai_kaeri/Screenshot 2024-11-19 014556.png	lu	neutral
isekai_kaeri/Screenshot 2024-11-19 014616.png	rr	neutral
isekai_kaeri/Screenshot 2024-11-19 014632.png	lu	neutral
isekai_kaeri/Screenshot 2024-11-19 014646.png	ld	neutral
isekai_kaeri/Screenshot 2024-11-19 014728.png	ld	neutral
isekai_kaeri/Screenshot 2024-11-19 014742.png	rd	neutral
isekai_kaeri/Screenshot 2024-11-19 014757.png	ld	neutral
isekai_kaeri/Screenshot 2024-11-19 014833.png	ld	neutral
isekai_kaeri/Screenshot 2024-11-19 014906.png	rd	neutral
isekai_kaeri/Screenshot 2024-11-19 014930.png	ll	neutral
isekai_kaeri/Screenshot 2024-11-19 014949.png	ld	neutral
isekai_kaeri/Screenshot 2024-11-19 015005.png	ldd	positive
isekai_kaeri/Screenshot 2024-11-19 015024.png	rd	agitated
isekai_kaeri/Screenshot 2024-11-19 015039.png	lu	neutral
isekai_kaeri/Screenshot 2024-11-19 015103.png	ld	negative
isekai_kaeri/Screenshot 2024-11-19 015120.png	ld	negative
isekai_kaeri/Screenshot 2024-11-19 015132.png	l	negative
isekai_kaeri/Screenshot 2024-11-19 015152.png	rd	agitated
isekai_kaeri/Screenshot 2024-11-19 015207.png	ld	neutral
isekai_kaeri/Screenshot 2024-11-19 015224.png	rd	agitated
isekai_kaeri/Screenshot 2024-11-19 015237.png	ld	agitated
